koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_model_snr,koi_teq,kepid,kepoi_name,koi_disposition,koi_pdisposition
0.0,1,0,0,0,1.025465924,0.88,3.71841,153000.0,1120.8,2710.0,5534702,K06596.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,74.98529295,0.987,6.23451,105000.0,1754.8,425.0,5535280,K06597.01,FALSE POSITIVE,FALSE POSITIVE
0.334,0,0,0,0,10.95210361,0.537,1.5,421.0,23.0,878.0,5552808,K06598.01,CANDIDATE,CANDIDATE
0.0,0,1,0,0,25.76205672,0.445,14.8694,448000.0,3469.5,604.0,5553624,K06599.01,FALSE POSITIVE,FALSE POSITIVE
0.334,0,0,0,0,2.70581614,0.6199,6.56,46.9,41.8,1356.0,5564082,K06600.01,CANDIDATE,CANDIDATE
0.0,0,1,0,1,1.195516859,0.327,6.17216,514000.0,1153.4,1715.0,6543682,K06728.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,1.995728294,0.465,6.43532,252000.0,1496.5,1409.0,6545018,K06729.01,FALSE POSITIVE,FALSE POSITIVE
0.0,1,0,0,0,10.76839193,0.001,12.5252,107000.0,2085.7,970.0,6548447,K06730.01,FALSE POSITIVE,FALSE POSITIVE
0.998,0,0,0,0,3.84615171,0.153,2.24,137.0,9.3,1199.0,6551106,K06731.01,CANDIDATE,CANDIDATE
0.0,1,0,0,0,0.733724504,0.257,2.208,45.9,21.4,2601.0,6584167,K06732.01,FALSE POSITIVE,FALSE POSITIVE
0.889,0,0,0,0,1.28940823,0.628,3.652,32.1,10.3,3112.0,6584278,K06733.01,CANDIDATE,CANDIDATE
0.334,0,0,0,0,498.27269,0.0481,8.92,534.0,6.6,214.0,6590726,K06734.01,CANDIDATE,CANDIDATE
0.0,0,1,0,0,5.08840787,0.513,4.77204,387000.0,3095.0,937.0,6591789,K06735.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,18.52782408,0.171,5.88678,76200.0,5547.2,1080.0,6593363,K06736.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,12.15524112,0.825,6.84353,85500.0,1767.8,788.0,7336754,K06861.01,FALSE POSITIVE,FALSE POSITIVE
0.334,0,0,0,0,11.0495766,0.218,2.13,103.0,5.7,738.0,7345335,K06862.01,CANDIDATE,CANDIDATE
1.0,0,0,0,0,4.48559215,0.442,0.8161,2270.0,15.0,365.0,7350067,K06863.01,CONFIRMED,CANDIDATE
0.334,0,0,0,1,0.566789763,0.6376,4.008,25.4,15.4,1984.0,7362534,K06864.01,FALSE POSITIVE,FALSE POSITIVE
0.0,1,0,0,1,0.566811926,0.681,4.181,82.6,22.5,2293.0,7362632,K06865.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,2.525386934,0.934,3.71613,125000.0,1003.0,1701.0,7365447,K06866.01,FALSE POSITIVE,FALSE POSITIVE
0.0,1,0,0,1,0.566801506,0.369,1.738,29.5,19.2,2557.0,7366036,K06867.01,FALSE POSITIVE,FALSE POSITIVE
0.334,0,0,1,1,0.566803738,0.6755,1.8481,101.0,33.1,2450.0,7366065,K06868.01,FALSE POSITIVE,FALSE POSITIVE
0.057,0,0,1,0,1.69421771,0.734,4.161,91.1,15.0,1274.0,8211521,K06992.01,FALSE POSITIVE,FALSE POSITIVE
0.945,0,0,0,0,13.8086331,0.029,3.613,207.0,9.0,659.0,8227086,K06993.01,CANDIDATE,CANDIDATE
0.994,0,0,0,0,4.25907841,0.362,4.513,28.1,11.5,1253.0,8227464,K06994.01,CANDIDATE,CANDIDATE
0.0,0,1,0,0,2.739477089,1.189,3.18229,32100.0,593.6,1475.0,8229048,K06995.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,1.307761491,1.237,2.22271,13900.0,531.5,1298.0,8231877,K06996.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,4.028671454,0.294,8.12253,114000.0,2152.8,1492.0,8234477,K06997.01,FALSE POSITIVE,FALSE POSITIVE
0.002,0,1,0,0,2.30118753,1.033,7.8216,87500.0,404.8,2783.0,8240109,K06998.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,0.449249224,0.494,4.7565,419000.0,1194.9,2941.0,8240861,K06999.01,FALSE POSITIVE,FALSE POSITIVE
0.0,1,0,1,0,0.687004402,0.689,3.829,93.7,45.0,3535.0,9049010,K07127.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,1,0.91839938,0.519,4.479,152.0,16.8,1558.0,9083503,K07128.01,FALSE POSITIVE,FALSE POSITIVE
